:START_ID(Paper),:END_ID(Author),:TYPE
paper_29,author_107,WRITTEN_BY
paper_29,author_108,WRITTEN_BY
paper_30,author_109,WRITTEN_BY
paper_30,author_110,WRITTEN_BY
paper_30,author_111,WRITTEN_BY
paper_30,author_112,WRITTEN_BY
paper_30,author_113,WRITTEN_BY
paper_31,author_114,WRITTEN_BY
paper_32,author_115,WRITTEN_BY
paper_32,author_116,WRITTEN_BY
paper_32,author_117,WRITTEN_BY
paper_33,author_118,WRITTEN_BY
paper_33,author_119,WRITTEN_BY
paper_33,author_120,WRITTEN_BY
paper_33,author_121,WRITTEN_BY
paper_33,author_122,WRITTEN_BY
paper_33,author_123,WRITTEN_BY
paper_33,author_124,WRITTEN_BY
paper_34,author_125,WRITTEN_BY
paper_34,author_126,WRITTEN_BY
paper_35,author_127,WRITTEN_BY
paper_35,author_128,WRITTEN_BY
paper_35,author_129,WRITTEN_BY
paper_36,author_130,WRITTEN_BY
paper_37,author_131,WRITTEN_BY
paper_38,author_132,WRITTEN_BY
paper_38,author_133,WRITTEN_BY
paper_38,author_134,WRITTEN_BY
paper_38,author_135,WRITTEN_BY
paper_38,author_136,WRITTEN_BY
paper_38,author_137,WRITTEN_BY
paper_38,author_138,WRITTEN_BY
paper_38,author_139,WRITTEN_BY
paper_39,author_140,WRITTEN_BY
paper_39,author_141,WRITTEN_BY
paper_39,author_142,WRITTEN_BY
paper_39,author_143,WRITTEN_BY
paper_40,author_144,WRITTEN_BY
paper_40,author_145,WRITTEN_BY
paper_40,author_146,WRITTEN_BY
paper_40,author_147,WRITTEN_BY
paper_40,author_148,WRITTEN_BY
paper_40,author_149,WRITTEN_BY
paper_40,author_150,WRITTEN_BY
paper_40,author_151,WRITTEN_BY
paper_40,author_152,WRITTEN_BY
paper_40,author_153,WRITTEN_BY
paper_40,author_154,WRITTEN_BY
paper_40,author_70,WRITTEN_BY
paper_41,author_125,WRITTEN_BY
paper_41,author_126,WRITTEN_BY
paper_42,author_155,WRITTEN_BY
paper_42,author_156,WRITTEN_BY
paper_42,author_157,WRITTEN_BY
paper_42,author_158,WRITTEN_BY
paper_43,author_159,WRITTEN_BY
paper_43,author_160,WRITTEN_BY
paper_44,author_161,WRITTEN_BY
paper_44,author_162,WRITTEN_BY
paper_44,author_163,WRITTEN_BY
paper_44,author_164,WRITTEN_BY
paper_44,author_165,WRITTEN_BY
paper_44,author_65,WRITTEN_BY
paper_44,author_166,WRITTEN_BY
paper_44,author_69,WRITTEN_BY
paper_45,author_167,WRITTEN_BY
paper_45,author_168,WRITTEN_BY
paper_45,author_169,WRITTEN_BY
paper_45,author_170,WRITTEN_BY
paper_46,author_171,WRITTEN_BY
paper_47,author_27,WRITTEN_BY
paper_48,author_172,WRITTEN_BY
paper_48,author_173,WRITTEN_BY
paper_48,author_174,WRITTEN_BY
paper_48,author_175,WRITTEN_BY
paper_48,author_176,WRITTEN_BY
paper_48,author_177,WRITTEN_BY
paper_48,author_62,WRITTEN_BY
paper_49,author_178,WRITTEN_BY
paper_49,author_179,WRITTEN_BY
paper_49,author_180,WRITTEN_BY
paper_49,author_181,WRITTEN_BY
paper_49,author_182,WRITTEN_BY
paper_50,author_183,WRITTEN_BY
paper_50,author_184,WRITTEN_BY
paper_50,author_125,WRITTEN_BY
paper_50,author_185,WRITTEN_BY
paper_50,author_186,WRITTEN_BY
paper_51,author_187,WRITTEN_BY
paper_51,author_188,WRITTEN_BY
paper_51,author_189,WRITTEN_BY
paper_51,author_190,WRITTEN_BY
paper_51,author_191,WRITTEN_BY
paper_52,author_192,WRITTEN_BY
paper_53,author_193,WRITTEN_BY
paper_53,author_194,WRITTEN_BY
paper_53,author_195,WRITTEN_BY
paper_53,author_196,WRITTEN_BY
paper_53,author_197,WRITTEN_BY
paper_54,author_198,WRITTEN_BY
paper_54,author_199,WRITTEN_BY
paper_54,author_200,WRITTEN_BY
paper_54,author_201,WRITTEN_BY
paper_55,author_202,WRITTEN_BY
paper_55,author_203,WRITTEN_BY
paper_55,author_204,WRITTEN_BY
paper_56,author_205,WRITTEN_BY
paper_56,author_206,WRITTEN_BY
paper_56,author_207,WRITTEN_BY
paper_56,author_208,WRITTEN_BY
paper_56,author_209,WRITTEN_BY
paper_57,author_210,WRITTEN_BY
paper_58,author_211,WRITTEN_BY
paper_58,author_212,WRITTEN_BY
paper_58,author_213,WRITTEN_BY
paper_58,author_214,WRITTEN_BY
paper_59,author_76,WRITTEN_BY
paper_60,author_215,WRITTEN_BY
paper_60,author_216,WRITTEN_BY
paper_60,author_217,WRITTEN_BY
paper_61,author_218,WRITTEN_BY
paper_61,author_219,WRITTEN_BY
paper_61,author_172,WRITTEN_BY
paper_61,author_220,WRITTEN_BY
paper_61,author_221,WRITTEN_BY
paper_61,author_222,WRITTEN_BY
paper_61,author_223,WRITTEN_BY
paper_61,author_224,WRITTEN_BY
paper_62,author_225,WRITTEN_BY
paper_63,author_226,WRITTEN_BY
paper_63,author_227,WRITTEN_BY
paper_63,author_228,WRITTEN_BY
paper_63,author_229,WRITTEN_BY
paper_64,author_230,WRITTEN_BY
paper_64,author_231,WRITTEN_BY
paper_65,author_232,WRITTEN_BY
paper_65,author_233,WRITTEN_BY
paper_65,author_234,WRITTEN_BY
paper_65,author_235,WRITTEN_BY
paper_66,author_236,WRITTEN_BY
paper_66,author_237,WRITTEN_BY
paper_66,author_238,WRITTEN_BY
paper_66,author_239,WRITTEN_BY
paper_67,author_240,WRITTEN_BY
paper_67,author_241,WRITTEN_BY
paper_67,author_242,WRITTEN_BY
paper_68,author_243,WRITTEN_BY
paper_68,author_244,WRITTEN_BY
paper_68,author_245,WRITTEN_BY
paper_68,author_246,WRITTEN_BY
paper_68,author_247,WRITTEN_BY
