author_id:ID(Author),name
author_107,Hongkyu Ko
author_108,Hyeoncheol Kim
author_109,Noemi Mauro
author_110,Liliana Ardissono
author_111,Federica Cena
author_112,Livio Scarpinati
author_113,Gianluca Torta
author_114,Ben Williamson
author_115,Said Al Faraby
author_116,Adiwijaya Adiwijaya
author_117,Ade Romadhony
author_118,Ariel Blobstein
author_119,Marc T. Facciotti
author_120,Michele Igo
author_121,David Karger
author_122,Prerna Ravi
author_123,Kamali Sripathi
author_124,Kobi Gal
author_125,Ning Wang
author_126,James Lester
author_127,Ilana Ram
author_128,Sara Harris
author_129,Ido Roll
author_130,Rebecca Eynon
author_131,Caroline Pelletier
author_132,Babette Bühler
author_133,Efe Bozkir
author_134,Patricia Goldberg
author_135,Ömer Sümer
author_136,Sidney D'Mello
author_137,Peter Gerjets
author_138,Ulrich Trautwein
author_139,Enkelejda Kasneci
author_140,Samah AlKhuzaey
author_141,Floriana Grasso
author_142,Terry R. Payne
author_143,Valentina Tamma
author_144,Olga Viberg
author_145,Mutlu Cukurova
author_146,Yael Feldman-Maggor
author_147,Giora Alexandron
author_148,Shizuka Shirai
author_149,Susumu Kanemune
author_150,Barbara Wasson
author_151,Cathrine Tømte
author_152,Daniel Spikol
author_153,Marcelo Milrad
author_154,Raquel Coelho
author_155,Zhaozhen Xu
author_156,Amelia Howarth
author_157,Nicole Briggs
author_158,Nello Cristianini
author_159,Valentina Andries
author_160,Judy Robertson
author_161,Paola Mejia-Domenzain
author_162,Jibril Frej
author_163,Seyed Parsa Neshaei
author_164,Luca Mouchel
author_165,Tanya Nazaretsky
author_166,Antoine Bosselut
author_167,Lonneke Boels
author_168,Enrique Garcia Moreno-Esteva
author_169,Arthur Bakker
author_170,Paul Drijvers
author_171,Alberto Gandolfi
author_172,Jionghao Lin
author_173,Zifei Han
author_174,Danielle R. Thomas
author_175,Ashish Gurung
author_176,Shivang Gupta
author_177,Vincent Aleven
author_178,Wenhan Lyu
author_179,Shuang Zhang
author_180,Tingting (Rachel) Chung
author_181,Yifan Sun
author_182,Yixuan Zhang
author_183,Maxyn Leitner
author_184,Eric Greenwald
author_185,Ryan Montgomery
author_186,Chirag Merchant
author_187,Alexis Lebis
author_188,Jérémie Humeau
author_189,Anthony Fleury
author_190,Flavien Lucas
author_191,Mathieu Vermeulen
author_192,Ken Koedinger
author_193,Verena Dornauer
author_194,Michael Netzer
author_195,Éva Kaczkó
author_196,Lisa-Maria Norz
author_197,Elske Ammenwerth
author_198,Mohsin Murtaza
author_199,Chi-Tsun Cheng
author_200,Mohammad Fard
author_201,John Zeleznikow
author_202,Ulrike Padó
author_203,Yunus Eryilmaz
author_204,Larissa Kirschner
author_205,Eka Miranda
author_206,Mediana Aryuni
author_207,Mia Ika Rahmawati
author_208,Siti Elda Hiererra
author_209,Dian Sano
author_210,H. Chad Lane
author_211,Suna-Şeyma Uçar
author_212,Itziar Aldabe
author_213,Nora Aranberri
author_214,Ana Arruarte
author_215,Ijaz Ul Haq
author_216,Manoli Pifarré
author_217,Estibaliz Fraca
author_218,Wei Dai
author_219,Yi-Shan Tsai
author_220,Ahmad Aldino
author_221,Hua Jin
author_222,Tongguang Li
author_223,Dragan Gašević
author_224,Guanliang Chen
author_225,Neil Selwyn
author_226,Francesco Sovrano
author_227,Kevin Ashley
author_228,Peter Leonid Brusilovsky
author_229,Fabio Vitali
author_230,Kevin C. Haudek
author_231,Xiaoming Zhai
author_232,Peter Wulff
author_233,Lukas Mientus
author_234,Anna Nowak
author_235,Andreas Borowski
author_236,Andrea Horbach
author_237,Joey Pehlke
author_238,Ronja Laarmann-Quante
author_239,Yuning Ding
author_240,Vinay Pursnani
author_241,Yusuf Sermet
author_242,Ibrahim Demir
author_243,Archana Praveen Kumar
author_244,Ashalatha Nayak
author_245,Manjula Shenoy K
author_246,Chaitanya
author_247,Kaustav Ghosh
